participant_id	age	sex
sub-01	25	M
sub-02	20	F
sub-03	25	F
sub-04	28	F
sub-05	23	F
sub-06	27	F
sub-07	31	M
sub-08	25	F
sub-09	25	F
sub-10	32	F
sub-11	35	M
sub-12	20	F
sub-13	22	F
sub-14	20	M
sub-15	19	F
sub-16	21	F
sub-17	27	F
sub-18	26	F
sub-19	23	F
sub-20	22	F
sub-21	19	M
sub-22	21	F
sub-23	23	M
sub-24	32	M
sub-25	18	F
sub-26	29	F
sub-27	29	F
sub-28	20	F
sub-29	21	M
sub-30	19	M
sub-31	22	F
sub-32	21	F
sub-33	23	F
sub-34	20	F
sub-35	20	F
sub-36	21	M
sub-37	18	F
sub-38	20	M
sub-39	20	F
sub-40	18	F
sub-41	19	F
sub-42	19	M
sub-43	27	F
sub-44	22	M
sub-45	22	M
